,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score
2628,flat,Vatika Sovereign Park,2.45,8812.94964028777,2780.0,Super Built up area 2780(258.27 sq.m.),3.0,4.0,3,1.0,East,sector 99,0.0,1.0,0.0,0.0,0.0,new,1.0,2780.0,,,221.0
2629,flat,Mapsko Mount Ville4.1,1.65,9090.90909090909,1815.0,Built Up area: 1815 (168.62 sq.m.),3.0,3.0,0,12.0,,sector 79,,,,,,,0.0,,1815.008818,,0.0
2630,flat,Godrej Air,1.75,9589.04109589041,1825.0,Built Up area: 1825 (169.55 sq.m.),3.0,3.0,2,27.0,,sector 85,,,,,,,0.0,,1825.019245,,0.0
2631,flat,Signature Global City 63A,1.4,11336.032388663967,1235.0,Carpet area: 1235 (114.74 sq.m.),2.0,2.0,2,3.0,East,sector 63a,0.0,0.0,0.0,1.0,0.0,new,0.0,,,1235.0498859999998,0.0
2632,flat,Signature The Roselia3.6,0.45,7908.611599297013,569.0,Carpet area: 569 (52.86 sq.m.),2.0,2.0,2,2.0,East,sector 95,,,,,,new,1.0,,,568.979754,38.0
2633,flat,SBR apartment,0.68,4456.0943643512455,1526.0,Built Up area: 1526 (141.77 sq.m.),3.0,3.0,3,2.0,,sector 1a,,,,,,moderately old,0.0,,1525.998103,,0.0
2634,flat,Smart World Gems,1.0,9009.009009009009,1110.0,Carpet area: 1110 (103.12 sq.m.),2.0,2.0,3,3.0,,sector 89,1.0,0.0,0.0,1.0,0.0,new,0.0,,,1109.973368,137.0
2635,flat,ATS Triumph3.9,2.0,8733.624454148472,2290.0,Super Built up area 2290(212.75 sq.m.),3.0,4.0,3+,4.0,,sector 104,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,2290.0,,,90.0
2636,flat,Vatika Sovereign Park,3.25,9672.619047619048,3360.0,Super Built up area 3360(312.15 sq.m.),4.0,4.0,3+,2.0,,sector 99,0.0,1.0,0.0,0.0,0.0,new,0.0,3360.0,,,136.0
2637,flat,Microtek Greenburg3.8,1.45,9797.297297297297,1480.0,Built Up area: 1480 (137.5 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3.0,2.0,3,8.0,North-East,sector 86,,,,,,relatively new,2.0,,1480.03625,1050.0,85.0
2638,flat,Vatika Sovereign Park,3.2,9922.480620155038,3225.0,Built Up area: 3225 (299.61 sq.m.),4.0,4.0,0,5.0,North-East,sector 99,,,,,,new,0.0,,3224.972079,,29.0
2639,flat,Signature Global Orchard Avenue3.6,0.4,7352.941176470588,544.0,Carpet area: 543.53 (50.5 sq.m.),2.0,2.0,2,11.0,,sector 93,,,,,,new,0.0,,,543.57695,44.0
2640,flat,Smart World Gems,0.95,8597.285067873303,1105.0,Carpet area: 1103 (102.47 sq.m.),2.0,2.0,2,4.0,,sector 89,1.0,1.0,0.0,0.0,0.0,new,0.0,,,1102.976833,66.0
2641,flat,Conscient Elevate,4.25,18518.51851851852,2295.0,Super Built up area 2295(213.21 sq.m.),3.0,4.0,3,3.0,,sector 59,,,,,,new,0.0,2295.0,,,0.0
2643,flat,Signature Global Solera 2,0.37,6678.70036101083,554.0,Carpet area: 553.85 (51.45 sq.m.),2.0,2.0,2,9.0,,sector 107,,,,,,new,0.0,,,553.802655,44.0
2644,flat,Spaze Privvy The Address3.9,1.25,6898.454746136866,1812.0,Super Built up area 1805(167.69 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3.0,4.0,2,12.0,North-East,sector 93,,,,,,relatively new,1.0,1805.0,1350.0,1100.0,112.0
2645,flat,Surendra Avenue 69,0.75,6818.181818181818,1100.0,Built Up area: 1100 (102.19 sq.m.),2.0,2.0,2,4.0,,sector 69,,,,,,moderately old,0.0,,1099.962941,,0.0
2646,flat,Godrej 1014.0,2.0,8453.085376162298,2366.0,Carpet area: 2366 (219.81 sq.m.),3.0,4.0,3+,2.0,North-East,sector 79,0.0,1.0,0.0,0.0,0.0,relatively new,1.0,,,2366.012859,178.0
2647,flat,DLF The Primus3.9,3.5,13430.54489639294,2606.0,Carpet area: 2606 (242.11 sq.m.),5.0,5.0,3+,14.0,North-East,sector 82a,1.0,0.0,0.0,0.0,0.0,relatively new,2.0,,,2606.047829,56.0
2648,flat,Ramprastha The Edge Towers3.5,1.0,5649.717514124294,1770.0,Super Built up area 1770(164.44 sq.m.),3.0,3.0,3+,13.0,,sector 37d,,,,,,moderately old,0.0,1770.0,,,66.0
2649,flat,Central Park Flower Valley,1.4,2393.162393162393,5850.0,Super Built up area 650(60.39 sq.m.),3.0,3.0,3,2.0,,sector-33,,,,,,new,0.0,650.0,,,67.0
2650,flat,Godrej Summit3.7,0.82,9855.76923076923,832.0,Carpet area: 77.31,2.0,2.0,3,12.0,,sector 104,1.0,0.0,0.0,0.0,0.0,relatively new,0.0,,,77.31,167.0
2651,flat,Ansal API Esencia3.7,1.2,7407.407407407408,1620.0,Carpet area: 180 (150.5 sq.m.),3.0,3.0,2,1.0,,sector 67,,,,,,,0.0,,,1619.96695,0.0
2652,flat,M3M Skywalk,1.78,12500.0,1424.0,Carpet area: 1424 (132.29 sq.m.),2.0,2.0,3+,12.0,,sector 74,,,,,,,0.0,,,1423.956331,0.0
2653,flat,M3M Heights,1.9,13991.163475699559,1358.0,Built Up area: 1358 (126.16 sq.m.),2.0,2.0,2,40.0,,sector 65,,,,,,,0.0,,1357.973624,,0.0
2654,flat,Signature Global City 81,0.89,8279.06976744186,1075.0,Carpet area: 1075 (99.87 sq.m.),2.0,2.0,2,3.0,North,sector 81,0.0,0.0,0.0,1.0,0.0,new,0.0,,,1074.990693,27.0
2655,flat,Smart World Orchard,1.6,13913.04347826087,1150.0,Carpet area: 1150 (106.84 sq.m.),2.0,2.0,2,3.0,East,sector 61,1.0,0.0,0.0,0.0,0.0,new,0.0,,,1150.015076,176.0
2656,flat,Ansal Heights 86,0.9,5325.443786982249,1690.0,Built Up area: 1690 (157.01 sq.m.),3.0,3.0,2,10.0,,sector 86,,,,,,new,0.0,,1690.0399389999998,,36.0
2657,flat,Ramprastha The Edge Towers3.5,1.1,5527.638190954774,1990.0,Built Up area: 1990 (184.88 sq.m.),3.0,3.0,3,9.0,,sector 37d,,,,,,,0.0,,1990.029832,,0.0
