,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score,area_to_bedroom_ratio
34,house,International City by Sobha Phase 1,5.7,10555.555555555557,5400.0,Plot area 600(501.68 sq.m.),1.0,5.0,3+,3.0,East,sector 109,1.0,1.0,1.0,0.0,1.0,relatively new,1.0,,5400.0,,207.0,5400.0
35,house,,3.2,13519.22264469793,2367.0,Plot area 263(219.9 sq.m.),3.0,3.0,2,1.0,East,sector 9,,,,,,old,1.0,,2367.0,,36.0,789.0
36,house,Vipul Tatvam Villa,7.69,24068.85758998435,3195.0,Plot area 355(296.83 sq.m.),2.0,5.0,3,2.0,North-West,sector 48,1.0,1.0,1.0,0.0,1.0,moderately old,1.0,,3195.0,,148.0,1597.5
37,house,,7.0,21604.938271604937,3240.0,Plot area 360(301.01 sq.m.),4.0,4.0,3+,1.0,North-East,sector 82,1.0,1.0,1.0,0.0,0.0,relatively new,1.0,,3240.0,,58.0,810.0
38,house,,3.85,14649.923896499238,2628.0,Plot area 292(244.15 sq.m.),1.0,4.0,3,3.0,North-West,sector 7,,,,,,old,0.0,,2628.0,,27.0,2628.0
39,house,,2.0,13888.888888888889,1440.0,Plot area 160(133.78 sq.m.),1.0,2.0,2,2.0,North-West,sector 7,,,,,,old,0.0,,1440.0,,22.0,1440.0
40,house,,3.1,13777.777777777776,2250.0,Plot area 250(209.03 sq.m.),2.0,3.0,2,2.0,North-West,sector 7,,,,,,old,0.0,,2250.0,,22.0,1125.0
41,house,,2.25,15625.0,1440.0,Plot area 160(133.78 sq.m.),2.0,3.0,2,2.0,North-West,sector 7,,,,,,old,1.0,,1440.0,,27.0,720.0
42,house,Vipul Tatvam Villa,8.5,21250.0,4000.0,Plot area 4000(371.61 sq.m.),2.0,5.0,3+,2.0,North,sector 48,1.0,1.0,1.0,1.0,0.0,moderately old,1.0,,4000.0,,58.0,2000.0
43,house,Emaar MGF Marbella,8.7,38666.66666666666,2250.0,Plot area 250(209.03 sq.m.)Built Up area: 267 sq.yards (223.25 sq.m.),1.0,5.0,2,3.0,East,sector 66,1.0,1.0,0.0,0.0,0.0,new,0.0,,2250.0,,191.0,2250.0
44,house,International City by SOBHA Phase 2,12.5,26669.511414550885,4687.0,Plot area 500(418.06 sq.m.),2.0,6.0,3,3.0,East,sector 109,1.0,1.0,1.0,0.0,1.0,relatively new,0.0,,4500.0,,79.0,2343.5
45,house,International City by SOBHA Phase 2,6.8,12592.592592592591,5400.0,Plot area 600(501.68 sq.m.),2.0,5.0,3,2.0,North-West,sector 109,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,,5400.0,,58.0,2700.0
46,house,International City by SOBHA Phase 2,9.5,26388.88888888889,3600.0,Plot area 400(334.45 sq.m.),2.0,6.0,3,3.0,West,sector 109,1.0,1.0,1.0,0.0,0.0,relatively new,0.0,,3600.0,,178.0,1800.0
